catday.png,coucou.mp4,sport.png,trajet1.mp4,echauffement.mp4,sport1.mp4,sport2.mp4,sport3.mp4,home.png,trajet2.mp4,housework.png,menage1.mp4,menage2.mp4,tablette.mp4,break.png,pause1.mp4,pause2.mp4,pause3.mp4,sleep.png,sieste.mp4,end.png,taille théorique,taille réelle,
X,,X,X,,X,,,X,X,X,X,,,X,X,,,X,X,X,5135872,4468116,
X,,X,X,,X,,,X,X,X,X,,,X,,X,,X,X,X,5196696,4510180,
X,,X,X,,X,,,X,X,X,X,,,X,,,X,X,X,X,5780520,5022755,
X,,X,X,,X,,,X,X,X,,X,,X,X,,,X,X,X,5557789,4984879,
X,,X,X,,X,,,X,X,X,,X,,X,,X,,X,X,X,5618613,5038539,
X,,X,X,,X,,,X,X,X,,X,,X,,,X,X,X,X,6202437,5537182,
X,,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7273892,5682726,
X,,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7334716,5698120,
X,,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,7918540,6232926,
X,,X,X,,,X,,X,X,X,X,,,X,X,,,X,X,X,5092585,4345111,
X,,X,X,,,X,,X,X,X,X,,,X,,X,,X,X,X,5153409,4382153,
X,,X,X,,,X,,X,X,X,X,,,X,,,X,X,X,X,5737233,4899007,
X,,X,X,,,X,,X,X,X,,X,,X,X,,,X,X,X,5514502,4859511,
X,,X,X,,,X,,X,X,X,,X,,X,,X,,X,X,X,5575326,4913001,
X,,X,X,,,X,,X,X,X,,X,,X,,,X,X,X,X,6159150,5414795,
X,,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7230605,5582227,
X,,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7291429,5596179,
X,,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,7875253,6134417,
X,,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6704027,5462696,
X,,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6764851,5481296,
X,,X,X,,,,X,X,X,X,X,,,X,,,X,X,X,X,7348675,6013720,
X,,X,X,,,,X,X,X,X,,X,,X,X,,,X,X,X,7125944,5960302,
X,,X,X,,,,X,X,X,X,,X,,X,,X,,X,X,X,7186768,5978716,
X,,X,X,,,,X,X,X,X,,X,,X,,,X,X,X,X,7770592,6509195,
X,,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8842047,6649399,
X,,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,8902871,6673456,
X,,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9486695,7197914,
X,,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,5295190,4996797,
X,,X,X,X,X,,,X,X,X,X,,,X,,X,,X,X,X,5356014,5038861,
X,,X,X,X,X,,,X,X,X,X,,,X,,,X,X,X,X,5939838,5551452,
X,,X,X,X,X,,,X,X,X,,X,,X,X,,,X,X,X,5717107,5513575,
X,,X,X,X,X,,,X,X,X,,X,,X,,X,,X,X,X,5777931,5567235,
X,,X,X,X,X,,,X,X,X,,X,,X,,,X,X,X,X,6361755,6065862,
X,,X,X,X,X,,,X,X,X,,,X,X,X,,,X,X,X,7433210,6211407,
X,,X,X,X,X,,,X,X,X,,,X,X,,X,,X,X,X,7494034,6226801,
X,,X,X,X,X,,,X,X,X,,,X,X,,,X,X,X,X,8077858,6761623,
X,,X,X,X,,X,,X,X,X,X,,,X,X,,,X,X,X,5251903,4875807,
X,,X,X,X,,X,,X,X,X,X,,,X,,X,,X,X,X,5312727,4912849,
X,,X,X,X,,X,,X,X,X,X,,,X,,,X,X,X,X,5896551,5429719,
X,,X,X,X,,X,,X,X,X,,X,,X,X,,,X,X,X,5673820,5390222,
X,,X,X,X,,X,,X,X,X,,X,,X,,X,,X,X,X,5734644,5443712,
X,,X,X,X,,X,,X,X,X,,X,,X,,,X,X,X,X,6318468,5945490,
X,,X,X,X,,X,,X,X,X,,,X,X,X,,,X,X,X,7389923,6112923,
X,,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7450747,6126875,
X,,X,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,8034571,6665129,
X,,X,X,X,,,X,X,X,X,X,,,X,X,,,X,X,X,6863345,5994352,
X,,X,X,X,,,X,X,X,X,X,,,X,,X,,X,X,X,6924169,6012964,
X,,X,X,X,,,X,X,X,X,X,,,X,,,X,X,X,X,7507993,6545404,
X,,X,X,X,,,X,X,X,X,,X,,X,X,,,X,X,X,7285262,6491985,
X,,X,X,X,,,X,X,X,X,,X,,X,,X,,X,X,X,7346086,6510399,
X,,X,X,X,,,X,X,X,X,,X,,X,,,X,X,X,X,7929910,7040862,
X,,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9001365,7181067,
X,,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9062189,7205124,
X,,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9646013,7729598,
X,X,X,X,,X,,,X,X,X,X,,,X,X,,,X,X,X,5288235,4624259,
X,X,X,X,,X,,,X,X,X,X,,,X,,X,,X,X,X,5349059,4641086,
X,X,X,X,,X,,,X,X,X,X,,,X,,,X,X,X,X,5932883,5170533,
X,X,X,X,,X,,,X,X,X,,X,,X,X,,,X,X,X,5710152,5132857,
X,X,X,X,,X,,,X,X,X,,X,,X,,X,,X,X,X,5770976,5148698,
X,X,X,X,,X,,,X,X,X,,X,,X,,,X,X,X,X,6354800,5679635,
X,X,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7426255,5796568,
X,X,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7487079,5850058,
X,X,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,8070903,6351852,
X,X,X,X,,,X,,X,X,X,X,,,X,X,,,X,X,X,5244948,4500752,
X,X,X,X,,,X,,X,X,X,X,,,X,,X,,X,X,X,5305772,4519199,
X,X,X,X,,,X,,X,X,X,X,,,X,,,X,X,X,X,5889596,5048954,
X,X,X,X,,,X,,X,X,X,,X,,X,X,,,X,X,X,5666865,5015924,
X,X,X,X,,,X,,X,X,X,,X,,X,,X,,X,X,X,5727689,5030380,
X,X,X,X,,,X,,X,X,X,,X,,X,,,X,X,X,X,6311513,5561151,
X,X,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7382968,5678818,
X,X,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7443792,5728254,
X,X,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,8027616,6233995,
X,X,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6856390,5649272,
X,X,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6917214,5654713,
X,X,X,X,,,,X,X,X,X,X,,,X,,,X,X,X,X,7501038,6201523,
X,X,X,X,,,,X,X,X,X,,X,,X,X,,,X,X,X,7278307,6138938,
X,X,X,X,,,,X,X,X,X,,X,,X,,X,,X,X,X,7339131,6145840,
X,X,X,X,,,,X,X,X,X,,X,,X,,,X,X,X,X,7922955,6695374,
X,X,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8994410,6793802,
X,X,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,9055234,6807610,
X,X,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9639058,7337312,
X,X,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,5447553,5156771,
X,X,X,X,X,X,,,X,X,X,X,,,X,,X,,X,X,X,5508377,5173598,
X,X,X,X,X,X,,,X,X,X,X,,,X,,,X,X,X,X,6092201,5703061,
X,X,X,X,X,X,,,X,X,X,,X,,X,X,,,X,X,X,5869470,5665384,
X,X,X,X,X,X,,,X,X,X,,X,,X,,X,,X,X,X,5930294,5681225,
X,X,X,X,X,X,,,X,X,X,,X,,X,,,X,X,X,X,6514118,6212146,
X,X,X,X,X,X,,,X,X,X,,,X,X,X,,,X,X,X,7585573,6329096,
X,X,X,X,X,X,,,X,X,X,,,X,X,,X,,X,X,X,7646397,6382586,
X,X,X,X,X,X,,,X,X,X,,,X,X,,,X,X,X,X,8230221,6884364,
X,X,X,X,X,,X,,X,X,X,X,,,X,X,,,X,X,X,5404266,5030926,
X,X,X,X,X,,X,,X,X,X,X,,,X,,X,,X,X,X,5465090,5049373,
X,X,X,X,X,,X,,X,X,X,X,,,X,,,X,X,X,X,6048914,5579144,
X,X,X,X,X,,X,,X,X,X,,X,,X,X,,,X,X,X,5826183,5546113,
X,X,X,X,X,,X,,X,X,X,,X,,X,,X,,X,X,X,5887007,5560569,
X,X,X,X,X,,X,,X,X,X,,X,,X,,,X,X,X,X,6470831,6091324,
X,X,X,X,X,,X,,X,X,X,,,X,X,X,,,X,X,X,7542286,6208992,
X,X,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7603110,6258428,
X,X,X,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,8186934,6764185,
X,X,X,X,X,,,X,X,X,X,X,,,X,X,,,X,X,X,7015708,6181354,
X,X,X,X,X,,,X,X,X,X,X,,,X,,X,,X,X,X,7076532,6186795,
X,X,X,X,X,,,X,X,X,X,X,,,X,,,X,X,X,X,7660356,6733621,
X,X,X,X,X,,,X,X,X,X,,X,,X,X,,,X,X,X,7437625,6671035,
X,X,X,X,X,,,X,X,X,X,,X,,X,,X,,X,X,X,7498449,6677937,
X,X,X,X,X,,,X,X,X,X,,X,,X,,,X,X,X,X,8082273,7227455,
X,X,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9153728,7325884,
X,X,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9214552,7339692,
X,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9798376,7869394,
4486,152363,4201,1112072,159318,386156,342869,1954311,4122,829945,4216,801973,1223890,2939993,3182,781491,842315,1426139,3068,1198681,2279,;
