catday.png,coucou.mp4,sport.png,trajet1.mp4,echauffement.mp4,sport1.mp4,sport2.mp4,sport3.mp4,home.png,trajet2.mp4,housework.png,menage1.mp4,menage2.mp4,tablette.mp4,break.png,pause1.mp4,pause2.mp4,pause3.mp4,sleep.png,sieste.mp4,end.png,taille théorique,taille réelle,ratio,taille gif,ratio,
X,,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,8902871,6673456,"74,9584712617",,,
X,X,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,9055234,6807610,"75,1787308865",4510180,"49,807437334",
X,,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8842047,6649399,"75,2020318372",,,
X,X,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8994410,6793802,"75,5336036494",,,
X,,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9486695,7197914,"75,8737790137",,,
X,X,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9639058,7337312,"76,1206333648",,,
X,,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7291429,5596179,"76,750099329",,,
X,X,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7382968,5678818,"76,9178195002",,,
X,X,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7443792,5728254,"76,9534398597",,,
X,,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7230605,5582227,"77,2027651905",,,
X,X,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,8027616,6233995,"77,6568659986",,,
X,,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7334716,5698120,"77,686988835",,,
X,,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,7875253,6134417,"77,8948562033",,,
X,X,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7426255,5796568,"78,055062747",,,
X,,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7273892,5682726,"78,1249707859",,,
X,X,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7487079,5850058,"78,1353849746",,,
X,X,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,8070903,6351852,"78,7006360998",,,
X,,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,7918540,6232926,"78,7130708439",3608887,"45,5751565314",
X,,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9062189,7205124,"79,5075450313",,,
X,X,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9214552,7339692,"79,6532701753",,,
X,,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9001365,7181067,"79,7775337407",5960302,"66,2155350883",
X,X,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9153728,7325884,"80,0316985604",,,
X,,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9646013,7729598,"80,1325687618",,,
X,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9798376,7869394,"80,313247828",,,
X,,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6764851,5481296,"81,0261157267",,,
X,,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6704027,5462696,"81,4838007066",,,
X,X,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6917214,5654713,"81,7484177879",,,
X,,X,X,,,,X,X,X,X,X,,,X,,,X,X,X,X,7348675,6013720,"81,8340721286",,,
X,,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7450747,6126875,"82,2316876415",5551452,"74,5086633595",
X,X,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7603110,6258428,"82,3140530651",,,
X,X,X,X,X,,X,,X,X,X,,,X,X,X,,,X,X,X,7542286,6208992,"82,3224152465",,,
X,X,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6856390,5649272,"82,3942628701",,,
X,X,X,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,8186934,6764185,"82,62171162",,,
X,X,X,X,,,,X,X,X,X,X,,,X,,,X,X,X,X,7501038,6201523,"82,6755310398",,,
X,,X,X,X,,X,,X,X,X,,,X,X,X,,,X,X,X,7389923,6112923,"82,7197116939",,,
X,,X,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,8034571,6665129,"82,9556301139",,,
X,,X,X,X,X,,,X,X,X,,,X,X,,X,,X,X,X,7494034,6226801,"83,0901087452",,,
X,,X,X,,,,X,X,X,X,,X,,X,,X,,X,X,X,7186768,5978716,"83,1906080731",,,
X,X,X,X,X,X,,,X,X,X,,,X,X,X,,,X,X,X,7585573,6329096,"83,4359645606",,,
X,X,X,X,X,X,,,X,X,X,,,X,X,,X,,X,X,X,7646397,6382586,"83,471810318",5443712,"71,1931645715",
X,,X,X,X,X,,,X,X,X,,,X,X,X,,,X,X,X,7433210,6211407,"83,5629156179",,,
X,,X,X,,,,X,X,X,X,,X,,X,X,,,X,X,X,7125944,5960302,"83,6422795352",6112923,"85,7840448929",
X,X,X,X,X,X,,,X,X,X,,,X,X,,,X,X,X,X,8230221,6884364,"83,6473771482",,,
X,,X,X,X,X,,,X,X,X,,,X,X,,,X,X,X,X,8077858,6761623,"83,7056432534",,,
X,X,X,X,,,,X,X,X,X,,X,,X,,X,,X,X,X,7339131,6145840,"83,7407044512",,,
X,,X,X,,,,X,X,X,X,,X,,X,,,X,X,X,X,7770592,6509195,"83,7670411727",,,
X,X,X,X,,,,X,X,X,X,,X,,X,X,,,X,X,X,7278307,6138938,"84,345686435",,,
X,X,X,X,,,,X,X,X,X,,X,,X,,,X,X,X,X,7922955,6695374,"84,5060207965",,,
X,,X,X,,,X,,X,X,X,X,,,X,,X,,X,X,X,5153409,4382153,"85,034061919",,,
X,X,X,X,,,X,,X,X,X,X,,,X,,X,,X,X,X,5305772,4519199,"85,1751451061",,,
X,,X,X,,,X,,X,X,X,X,,,X,X,,,X,X,X,5092585,4345111,"85,3223068442",,,
X,,X,X,,,X,,X,X,X,X,,,X,,,X,X,X,X,5737233,4899007,"85,3897166108",,,
X,X,X,X,,,X,,X,X,X,X,,,X,,,X,X,X,X,5889596,5048954,"85,7266610477",,,
X,X,X,X,,,X,,X,X,X,X,,,X,X,,,X,X,X,5244948,4500752,"85,8111844007",4624259,"88,1659646578",
X,X,X,X,,X,,,X,X,X,X,,,X,,X,,X,X,X,5349059,4641086,"86,764531855",,,
X,,X,X,,X,,,X,X,X,X,,,X,,X,,X,X,X,5196696,4510180,"86,7893754031",,,
X,,X,X,X,,,X,X,X,X,X,,,X,,X,,X,X,X,6924169,6012964,"86,8402258813",,,
X,,X,X,,X,,,X,X,X,X,,,X,,,X,X,X,X,5780520,5022755,"86,8910582439",,,
X,,X,X,,X,,,X,X,X,X,,,X,X,,,X,X,X,5135872,4468116,"86,9981962167",,,
X,X,X,X,,X,,,X,X,X,X,,,X,,,X,X,X,X,5932883,5170533,"87,1504292264",,,
X,,X,X,X,,,X,X,X,X,X,,,X,,,X,X,X,X,7507993,6545404,"87,179143614",,,
X,,X,X,X,,,X,X,X,X,X,,,X,X,,,X,X,X,6863345,5994352,"87,3386373554",,,
X,X,X,X,X,,,X,X,X,X,X,,,X,,X,,X,X,X,7076532,6186795,"87,4269345493",,,
X,X,X,X,,X,,,X,X,X,X,,,X,X,,,X,X,X,5288235,4624259,"87,4442796131",,,
X,X,X,X,,,X,,X,X,X,,X,,X,,X,,X,X,X,5727689,5030380,"87,8256483549",,,
X,X,X,X,X,,,X,X,X,X,X,,,X,,,X,X,X,X,7660356,6733621,"87,9021941017",5015924,"65,4789934045",
X,,X,X,,,X,,X,X,X,,X,,X,,,X,X,X,X,6159150,5414795,"87,9146473133",,,
X,X,X,X,X,,,X,X,X,X,X,,,X,X,,,X,X,X,7015708,6181354,"88,1073442623",,,
X,X,X,X,,,X,,X,X,X,,X,,X,,,X,X,X,X,6311513,5561151,"88,1112183402",5678818,"89,9755415223",
X,,X,X,,,X,,X,X,X,,X,,X,,X,,X,X,X,5575326,4913001,"88,1204256038",,,
X,,X,X,,,X,,X,X,X,,X,,X,X,,,X,X,X,5514502,4859511,"88,1223907435",,,
X,X,X,X,,,X,,X,X,X,,X,,X,X,,,X,X,X,5666865,5015924,"88,5132079201",,,
X,,X,X,X,,,X,X,X,X,,X,,X,,X,,X,X,X,7346086,6510399,"88,6240509572",,,
X,,X,X,X,,,X,X,X,X,,X,,X,,,X,X,X,X,7929910,7040862,"88,7886747769",,,
X,X,X,X,X,,,X,X,X,X,,X,,X,,X,,X,X,X,7498449,6677937,"89,0575771069",,,
X,,X,X,X,,,X,X,X,X,,X,,X,X,,,X,X,X,7285262,6491985,"89,1112083546",,,
X,X,X,X,,X,,,X,X,X,,X,,X,,X,,X,X,X,5770976,5148698,"89,2171098961",,,
X,,X,X,,X,,,X,X,X,,X,,X,,,X,X,X,X,6202437,5537182,"89,2742965386",,,
X,X,X,X,,X,,,X,X,X,,X,,X,,,X,X,X,X,6354800,5679635,"89,3755114244",,,
X,X,X,X,X,,,X,X,X,X,,X,,X,,,X,X,X,X,8082273,7227455,"89,4235445895",,,
X,,X,X,,X,,,X,X,X,,X,,X,,X,,X,X,X,5618613,5038539,"89,6758506058",,,
X,,X,X,,X,,,X,X,X,,X,,X,X,,,X,X,X,5557789,4984879,"89,691764117",,,
X,X,X,X,X,,,X,X,X,X,,X,,X,X,,,X,X,X,7437625,6671035,"89,6930807886",,,
X,X,X,X,,X,,,X,X,X,,X,,X,X,,,X,X,X,5710152,5132857,"89,8900239433",,,
X,,X,X,X,,X,,X,X,X,X,,,X,,,X,X,X,X,5896551,5429719,"92,0829651096",,,
X,X,X,X,X,,X,,X,X,X,X,,,X,,,X,X,X,X,6048914,5579144,"92,2338125488",,,
X,X,X,X,X,,X,,X,X,X,X,,,X,,X,,X,X,X,5465090,5049373,"92,393226827",,,
X,,X,X,X,,X,,X,X,X,X,,,X,,X,,X,X,X,5312727,4912849,"92,4732063213",,,
X,,X,X,X,,X,,X,X,X,X,,,X,X,,,X,X,X,5251903,4875807,"92,8388624085",6884364,"131,0832283079",
X,X,X,X,X,,X,,X,X,X,X,,,X,X,,,X,X,X,5404266,5030926,"93,0917538108",,,
X,,X,X,X,X,,,X,X,X,X,,,X,,,X,X,X,X,5939838,5551452,"93,4613368243",,,
X,X,X,X,X,X,,,X,X,X,X,,,X,,,X,X,X,X,6092201,5703061,"93,612489148",,,
X,X,X,X,X,X,,,X,X,X,X,,,X,,X,,X,X,X,5508377,5173598,"93,9223658802",,,
X,,X,X,X,X,,,X,X,X,X,,,X,,X,,X,X,X,5356014,5038861,"94,0785629014",,,
X,,X,X,X,,X,,X,X,X,,X,,X,,,X,X,X,X,6318468,5945490,"94,0970184545",,,
X,X,X,X,X,,X,,X,X,X,,X,,X,,,X,X,X,X,6470831,6091324,"94,1351118581",,,
X,,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,5295190,4996797,"94,3648292129",,,
X,X,X,X,X,,X,,X,X,X,,X,,X,,X,,X,X,X,5887007,5560569,"94,4549411951",,,
X,X,X,X,X,X,,,X,X,X,X,,,X,X,,,R,X,X,5447553,5156771,"94,6621538147",,,
X,,X,X,X,,X,,X,X,X,,X,,X,,X,,X,X,X,5734644,5443712,"94,9267644164",,,
X,,X,X,X,,X,,X,X,X,,X,,X,X,,,X,X,X,5673820,5390222,"95,0016391073",,,
X,X,X,X,X,,X,,X,X,X,,X,,X,X,,,X,X,X,5826183,5546113,"95,1929076035",,,
X,,X,X,X,X,,,X,X,X,,X,,X,,,X,X,X,X,6361755,6065862,"95,3488777861",,,
X,X,X,X,X,X,,,X,X,X,,X,,X,,,X,X,X,X,6514118,6212146,"95,3643455645",,,
X,X,X,X,X,X,,,X,X,X,,X,,X,,X,,X,X,X,5930294,5681225,"95,8000564559",,,
X,,X,X,X,X,,,X,X,X,,X,,X,,X,,X,X,X,5777931,5567235,"96,3534351656",,,
X,,X,X,X,X,,,X,X,X,,X,,X,X,,,X,X,X,5717107,5513575,"96,4399476868",,,
X,X,X,X,X,X,,,X,X,X,,X,,X,X,,,X,X,X,5869470,5665384,"96,5229228533",,,
4486,152363,4201,1112072,159318,386156,342869,1954311,4122,829945,4216,801973,1223890,2939993,3182,781491,842315,1426139,3068,1198681,2279,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Coef corrélation :,,"0,9340206561",Coef corrélation GIF :,,"-0,3283565675"
